Timestamp,"After you arrived in France, which of the difficulties have you encountered?","What transport did you use from airport/train station/bus station, when you first arrived to Paris?",Rate your first transfer experience: ,How did you learn about the public transportation system in Paris (il-de-France)?,Rate your overall experience with public transport in Paris at the beginning,How many of the following options are familiar to you as a place to consume food on campus (at your university)?,Rate how hard was it to find food on campus (at your university) at the beginning,"If you had problems with finding accommodation, rate your experience:  ","If you had problems with accommodation quality, rate your experience:  ",Did you have any of these problems with SIM cards?,Rate how hard was it to open your first bank account,"Did you have problems with finding where to buy stuff? If so, chose one or several options below.","Rate your experience with shopping problems (problems with finding where to buy something, problems with access to shops, financial problems, etc.), if you had any at the beginning","If you had an experience with CAF procedure, please, rate it",Rate your familiarity with the sport facilities available on campus (at your university) and their tariffs,"Rate your onboarding experience in the university (the process where your accounts were made, your badge, email)"
02/02/2024 12:50:48,"Health (Insurances, doctor appointments)",Airport Taxi,5,"Friends/classmates/other people, Web application (IDF Mobilités)",2,"Crous, WAN (Telecom Paris restaurant)",7,6,6,No problems,7,,4,4,5,6
02/02/2024 12:52:48,"Transport (public transport system, tickets, Navigo etc.), Accommodation, University (administrative problems, courses, life etc.), French culture (language, mentality, social norms), Shopping (groceries, furniture, electronics), Health (Insurances, doctor appointments)","RER (Metro), Uber",3,"Friends/classmates/other people, My own way (by experience)",4,"WAN (Telecom Paris restaurant), Telecom cafeteria, Franprix, Panific",5,2,,"Setting up, Further using",3,"Groceries, Kitchen utilities, Electronics",5,1,6,4
02/02/2024 12:52:56,"Accommodation, Bank, French culture (language, mentality, social norms), CAF, Health (Insurances, doctor appointments)",Uber,4,"Friends/classmates/other people, My own way (by experience)",4,"Crous, WAN (Telecom Paris restaurant), Telecom cafeteria, Franprix, Panific",7,7,4,No problems,2,,7,2,2,6
02/02/2024 12:54:21,"Transport (public transport system, tickets, Navigo etc.), Accommodation, SIM card, University (administrative problems, courses, life etc.), Shopping (groceries, furniture, electronics), Health (Insurances, doctor appointments)","RER (Metro), Bus",5,"Friends/classmates/other people, Web application (IDF Mobilités)",2,"Crous, WAN (Telecom Paris restaurant), Telecom cafeteria, Panific",4,1,5,"Choosing/Finding, Setting up",4,"Groceries, Furniture",4,2,6,4
02/02/2024 12:55:24,"Transport (public transport system, tickets, Navigo etc.), Accommodation, SIM card, Bank, University (administrative problems, courses, life etc.), French culture (language, mentality, social norms), Shopping (groceries, furniture, electronics), CAF, Health (Insurances, doctor appointments)","RER (Metro), Bus",1,"Friends/classmates/other people, My own way (by experience)",3,"Crous, Franprix",1,7,5,"Choosing/Finding, Setting up, Further using",2,Electronics,4,1,2,5
02/02/2024 13:02:22,"French culture (language, mentality, social norms), Health (Insurances, doctor appointments)",Airport Taxi,5,My own way (by experience),5,"Crous, WAN (Telecom Paris restaurant), Telecom cafeteria, Franprix, Panific",5,7,5,,6,Kitchen utilities,4,6,3,4
02/02/2024 13:03:48,"Transport (public transport system, tickets, Navigo etc.), Accommodation, SIM card, Bank, University (administrative problems, courses, life etc.), French culture (language, mentality, social norms), Shopping (groceries, furniture, electronics), CAF, Health (Insurances, doctor appointments), No problems, everthing","Airport Taxi, RER (Metro), Bus, Uber",1,"Friends/classmates/other people, Web application (IDF Mobilités)",1,"Crous, Franprix",6,1,6,"Choosing/Finding, Setting up, Further using",1,,4,1,1,5
02/02/2024 13:08:03,"French culture (language, mentality, social norms)",RER (Metro),6,"Official RATP web-site, Friends/classmates/other people, My own way (by experience), Web application (IDF Mobilités)",7,"WAN (Telecom Paris restaurant), Maniugn (Ecole Polytechnique restaurant), Telecom cafeteria, Franprix",7,,,"Choosing/Finding, No problems",7,,7,7,3,5
02/02/2024 13:11:30,"Transport (public transport system, tickets, Navigo etc.), SIM card, Bank, CAF, Health (Insurances, doctor appointments)",Airport Taxi,4,"Official RATP web-site, Friends/classmates/other people",3,"Crous, WAN (Telecom Paris restaurant), Telecom cafeteria, Franprix, Panific",6,,,Choosing/Finding,6,,7,2,3,5
02/02/2024 13:12:51,"Transport (public transport system, tickets, Navigo etc.), Accommodation, Bank, University (administrative problems, courses, life etc.), French culture (language, mentality, social norms), CAF",An acquaintance drove me,5,I searched videos on Youtube months in advance,4,"Crous, WAN (Telecom Paris restaurant), Telecom cafeteria, Franprix, Panific, Food Asia",6,3,5,Choosing/Finding,2,Kitchen utilities,5,3,2,6
02/02/2024 13:27:39,"French culture (language, mentality, social norms), CAF",华人接机,7,"Friends/classmates/other people, Web application (IDF Mobilités)",6,"Crous, Maniugn (Ecole Polytechnique restaurant)",2,4,4,No problems,5,Kitchen utilities,5,2,4,6
02/02/2024 13:40:05,"Accommodation, French culture (language, mentality, social norms), Health (Insurances, doctor appointments)",Uber,6,Social media,4,"Crous, WAN (Telecom Paris restaurant)",3,6,3,Choosing/Finding,6,Electronics,4,5,3,6
02/02/2024 13:54:45,Accommodation,"RER (Metro), Bus",4,"Friends/classmates/other people, My own way (by experience)",3,"Crous, WAN (Telecom Paris restaurant)",7,7,3,No problems,5,,7,7,7,5
02/02/2024 14:35:49,"Transport (public transport system, tickets, Navigo etc.), Accommodation",RER (Metro),6,Friends/classmates/other people,5,"Crous, WAN (Telecom Paris restaurant)",4,4,6,No problems,7,,5,6,6,5
02/02/2024 14:43:30,"Transport (public transport system, tickets, Navigo etc.), SIM card, Bank, University (administrative problems, courses, life etc.), French culture (language, mentality, social norms), CAF",RER (Metro),2,Friends/classmates/other people,3,"Crous, WAN (Telecom Paris restaurant), Maniugn (Ecole Polytechnique restaurant), Telecom cafeteria, Franprix, Panific",5,,6,Choosing/Finding,3,"Kitchen utilities, Furniture",3,3,1,2
02/02/2024 17:16:36,"Bank, French culture (language, mentality, social norms)",RER (Metro),5,My own way (by experience),4,"Crous, WAN (Telecom Paris restaurant), Telecom cafeteria, Franprix",5,5,4,Further using,7,Furniture,4,6,2,5
02/02/2024 18:08:04,"Bank, French culture (language, mentality, social norms), Shopping (groceries, furniture, electronics), CAF",Private transfer,7,My own way (by experience),4,At home,6,1,6,No problems,2,Electronics,2,2,6,7
02/02/2024 18:41:42,"Transport (public transport system, tickets, Navigo etc.), Accommodation, SIM card, Bank, University (administrative problems, courses, life etc.), French culture (language, mentality, social norms), CAF, Health (Insurances, doctor appointments)","RER (Metro), Bus",1,"Friends/classmates/other people, My own way (by experience)",1,"Crous, WAN (Telecom Paris restaurant), Telecom cafeteria, Franprix, Panific",6,7,5,"Choosing/Finding, Setting up",1,"Groceries, Kitchen utilities, Electronics",4,4,3,6
02/02/2024 19:14:00,No problems,Uber,6,"Friends/classmates/other people, My own way (by experience)",7,Crous,7,1,7,No problems,7,,7,5,4,7
02/02/2024 20:08:12,"SIM card, French culture (language, mentality, social norms), CAF, Health (Insurances, doctor appointments)",Uber,5,"Friends/classmates/other people, Web application (IDF Mobilités)",4,"Crous, Maniugn (Ecole Polytechnique restaurant), Telecom cafeteria, Franprix",3,1,3,Further using,2,Groceries,2,6,6,3
02/02/2024 20:12:58,"Shopping (groceries, furniture, electronics)",my uncle's car,7,Friends/classmates/other people,7,"Crous, Franprix",7,1,7,Choosing/Finding,2,Electronics,3,2,3,4
02/02/2024 20:14:39,"University (administrative problems, courses, life etc.)",Airport Taxi,6,Friends/classmates/other people,4,"Crous, WAN (Telecom Paris restaurant), Maniugn (Ecole Polytechnique restaurant), Telecom cafeteria, Franprix, Panific, Food Asia, 19",6,7,6,No problems,5,,7,3,3,5
02/02/2024 23:07:46,"Accommodation, CAF",Uber,6,"Official RATP web-site, Friends/classmates/other people",2,"Crous, WAN (Telecom Paris restaurant), Franprix",6,7,5,No problems,1,,5,1,2,1
03/02/2024 08:37:38,Bank,Airport Taxi,5,"Friends/classmates/other people, My own way (by experience), Web application (IDF Mobilités), City mapper (application)",6,"Crous, WAN (Telecom Paris restaurant), Maniugn (Ecole Polytechnique restaurant), Franprix, Panific",6,2,,No problems,5,,7,,5,6
03/02/2024 11:41:11,"Transport (public transport system, tickets, Navigo etc.), Bank, CAF, Health (Insurances, doctor appointments)","RER (Metro), Bus",4,Friends/classmates/other people,4,Crous,7,6,4,No problems,3,,7,4,3,6
03/02/2024 12:21:46,"Transport (public transport system, tickets, Navigo etc.), SIM card, French culture (language, mentality, social norms), CAF, Health (Insurances, doctor appointments)",RER (Metro),4,Friends/classmates/other people,4,"Crous, Maniugn (Ecole Polytechnique restaurant), Franprix, Panific",5,1,5,Choosing/Finding,6,,6,4,4,7
